,frm_02,lc_02,frm_04,lc_04,frm_08,lc_08,frm_16,lc_16,frm_32,lc_32,frm_64,lc_64
62,-0.7353342713702266,1.0,-0.38853043400754744,1.0,-0.1972241148905231,1.0,-0.09899477378323786,1.0,-0.049545645674048185,1.0,-0.024778868429804656,1.0
63,-0.7322381270697204,0.9999777777777779,-0.3868945163906735,1.0,-0.19639369756466826,1.0,-0.09857795368309791,1.0,-0.049337032429104824,1.0,-0.02467453635220548,1.0
64,-0.7291419827692142,0.9998750000000002,-0.38525859877379964,1.0,-0.19556328023881342,1.0,-0.09816113358295796,1.0,-0.04912841918416146,1.0,-0.0245702042746063,1.0
65,-0.726045838468708,0.9996638888888888,-0.38362268115692577,1.0,-0.1947328629129586,1.0,-0.09774431348281801,1.0,-0.0489198059392181,1.0,-0.024465872197007126,1.0
66,-0.7229496941682018,0.99945,-0.3819867635400519,1.0,-0.19390244558710376,1.0,-0.09732749338267806,1.0,-0.04871119269427474,1.0,-0.024361540119407946,1.0
67,-0.7198535498676955,0.9992388888888891,-0.380350845923178,1.0,-0.19307202826124892,1.0,-0.0969106732825381,1.0,-0.04850257944933138,1.0,-0.02425720804180877,1.0
68,-0.7167574055671893,0.9989944444444446,-0.37871492830630415,1.0,-0.1922416109353941,1.0,-0.09649385318239817,1.0,-0.04829396620438802,1.0,-0.02415287596420959,1.0
69,-0.7136612612666831,0.998697222222222,-0.3770790106894302,1.0,-0.19141119360953926,1.0,-0.0960770330822582,1.0,-0.04808535295944466,1.0,-0.024048543886610416,1.0
70,-0.7105651169661769,0.998361111111111,-0.37544309307255636,1.0,-0.19058077628368442,1.0,-0.09566021298211827,1.0,-0.0478767397145013,1.0,-0.023944211809011236,1.0
71,-0.7074689726656707,0.998011111111111,-0.3738071754556825,1.0,-0.1897503589578296,1.0,-0.09524339288197832,1.0,-0.04766812646955794,1.0,-0.02383987973141206,1.0
72,-0.7043728283651645,0.9977111111111111,-0.37217125783880856,1.0,-0.18891994163197476,1.0,-0.09482657278183837,1.0,-0.04745951322461458,1.0,-0.02373554765381288,1.0
73,-0.7012766840646583,0.9973416666666665,-0.3705353402219347,1.0,-0.18808952430611992,1.0,-0.09440975268169842,1.0,-0.04725089997967122,1.0,-0.023631215576213706,1.0
74,-0.698180539764152,0.9969916666666667,-0.3688994226050608,1.0,-0.1872591069802651,1.0,-0.09399293258155847,1.0,-0.04704228673472786,1.0,-0.023526883498614527,1.0
75,-0.6950843954636458,0.9966527777777779,-0.36726350498818694,1.0,-0.18642868965441026,1.0,-0.09357611248141852,1.0,-0.0468336734897845,1.0,-0.023422551421015347,1.0
76,-0.6919882511631396,0.9962499999999999,-0.36562758737131307,0.999986111111111,-0.1855982723285554,1.0,-0.09315929238127857,1.0,-0.046625060244841136,1.0,-0.02331821934341617,1.0
77,-0.6888921068626334,0.9958388888888889,-0.3639916697544392,0.9998777777777779,-0.1847678550027006,1.0,-0.09274247228113862,1.0,-0.046416446999897776,1.0,-0.023213887265816996,1.0
78,-0.685795962562127,0.9954805555555555,-0.36235575213756527,0.9996722222222222,-0.18393743767684576,1.0,-0.09232565218099867,1.0,-0.046207833754954415,1.0,-0.023109555188217817,1.0
79,-0.6826998182616208,0.9951138888888887,-0.3607198345206914,0.9994583333333331,-0.1831070203509909,0.9999972222222221,-0.09190883208085873,1.0,-0.045999220510011055,1.0,-0.023005223110618638,1.0
80,-0.6796036739611147,0.9947277777777777,-0.3590839169038175,0.9992527777777777,-0.1822766030251361,0.9999388888888888,-0.09149201198071877,0.9999916666666668,-0.045790607265067694,1.0,-0.022900891033019462,1.0
81,-0.6765075296606085,0.9943166666666667,-0.3574479992869436,0.998963888888889,-0.18144618569928125,0.9997472222222223,-0.09107519188057883,0.9999194444444444,-0.04558199402012433,0.9999444444444444,-0.022796558955420286,0.9999499999999999
82,-0.6734113853601023,0.9939222222222224,-0.3558120816700697,0.9986166666666665,-0.1806157683734264,0.9995194444444445,-0.09065837178043887,0.9997194444444444,-0.04537338077518097,0.9997583333333334,-0.022692226877821107,0.9997750000000001
83,-0.6703152410595961,0.9934666666666665,-0.35417616405319585,0.998261111111111,-0.1797853510475716,0.9993277777777778,-0.09024155168029893,0.9994916666666666,-0.04516476753023761,0.999525,-0.022587894800221928,0.9995444444444446
84,-0.6672190967590899,0.9930333333333332,-0.352540246436322,0.9979333333333332,-0.17895493372171675,0.9990555555555556,-0.08982473158015898,0.9992861111111111,-0.044956154285294245,0.9993416666666666,-0.022483562722622752,0.999347222222222
