phase,flux,flux_white,model,model_fit
0.4231546680319697,0.00022198889999999998,0.57993174,0.39919624,0.0
0.4234150157652193,-0.00035939142,-1.1533186000000002,0.046133935,0.0
0.4238213434726421,0.00017238557,1.0036546,0.112518005,0.0
0.42390545094938736,0.0005074131,2.3520026,0.5789681,0.0
0.4246320716641833,0.00041975654000000004,2.3631554,0.18229881,0.0
0.4255936697994761,-0.0005477643599999999,-1.0416622,0.11888047,0.0
0.42678429109819066,0.00022078936000000001,1.3344034,0.01785383,0.0
0.4277718060722479,-2.1312339000000006e-05,-0.6856679,0.0611172,0.0
0.42799306281339866,1.5342099e-05,0.57615846,1.0461733,0.0
0.42819251604313596,0.00013568781999999998,-0.19722755,-0.24202729999999997,0.0
0.4284423071950021,0.0001511751,0.9091461,0.08850145,0.0
0.4291268454068983,-3.73653e-05,0.055429462,0.26016644,0.0
0.4298009420955188,-2.4867531e-05,0.8032161999999999,0.7362411999999999,0.0
0.4300476266784764,-0.00042371682,-1.3912518,0.07112988,0.0
0.4311985816945537,3.7503087e-05,-0.0056958064000000004,0.09863492,0.0
0.4323960489506779,-2.5177526e-06,0.63304734,0.44146913,0.0
0.4325782146997299,-4.787852e-05,-0.080162495,0.2390062,0.0
0.4329865271595109,-2.8773242e-05,0.48548067,-0.18552978,0.0
0.4336297307462079,-7.495120399999999e-05,0.4027151,0.6428921999999999,0.0
0.4341440117232015,0.00031638253,1.0398207,0.22971950000000002,0.0
0.4345087459246825,0.00070663326,2.7725677,0.34563926,0.0
0.4356196894837993,0.00011119639,0.667582,0.08782329,0.0
0.4369529540715632,0.00016067886999999995,1.5169903999999999,0.07111356,0.0
0.437026907670302,-0.0004287552099999999,-0.99456745,0.13356727,0.0
0.4371700399563089,-0.00014927817,-0.8156038000000001,0.29937848,0.0
0.4375380245493333,-0.00021491712999999998,-1.1361392,-0.078399725,0.0
0.4381392031621845,0.00023583486,1.5230408000000002,0.23167683,0.0
0.43849280549174335,-0.000169338,-0.55735123,0.21865274,0.0
0.44004770075950816,-6.757594e-05,0.036800046,0.17013979999999998,0.0
0.441342420881185,-0.00037413632000000003,-0.9450546000000001,0.21017842,0.0
0.4417696316351595,-7.832487e-05,-0.26725608,0.15930751,0.0
0.44209682812899603,-6.667011999999999e-05,0.18386225,0.47941455,0.0
0.44265641323590543,-6.343622e-05,0.3594226,0.013600465,0.0
0.4428474672237791,5.9733855000000004e-05,1.3999622,0.82999474,0.0
0.4434527303994544,-0.00020034751,-0.123661526,0.32859594,0.0
0.4444827018152613,-1.3296960999999995e-05,-0.2530576,-0.16146293,0.0
0.4457387911772702,-5.8050649999999986e-05,-0.04372514,0.024124224,0.0
0.4463753789227731,-6.3915715e-05,0.5898913,0.9858298000000001,0.0
0.4466628516049183,-0.00014665605,-0.35034567,0.07356659,0.0
0.4471809870285207,8.388353e-05,1.1001538999999998,0.6232542,0.0
0.4472080544483624,-6.893531e-05,-0.25871882,0.22408895,0.0
0.4479352216891701,6.7847855e-06,0.4281597,0.3426941,0.0
0.4489247501801124,0.00021322416000000001,1.2424016000000002,0.35759450000000004,0.0
0.4501418060790764,0.00031254394,1.4032191,-0.035808004,0.0
0.4509887488100234,-0.00012344377,0.44749534,0.6039799,0.0
0.4512360662125733,2.9191437999999998e-06,0.56340224,0.732771,0.0
0.4515747109881282,4.8866408e-05,1.2943129999999998,0.38408583,0.0
0.4517129533045571,-0.00039000256,-0.8140094,0.39477143,0.0
0.4524258533400071,-0.00023225577000000002,-1.3024876,-0.048406545,0.0
0.4532055446069901,-0.0002119716,-0.22316591,0.5358622,0.0
0.4533739033831154,-0.00017633474999999998,-0.12793577,-0.030640274,0.0
0.4545515231156574,0.00031343623,1.061084,-0.03968664,0.0
