,frm_2,lc_2,frm_4,lc_4,frm_8,lc_8,frm_16,lc_16,frm_32,lc_32,frm_64,lc_64
337,0.11610541126898322,0.7505555555555556,0.061346910632770646,0.7491666666666668,0.031140649719556324,0.7500000000000002,0.015630753755248097,0.7502777777777779,0.007822996685376025,0.7502777777777779,0.003912452909969156,0.7502777777777779
338,0.11920155556948941,0.7505555555555554,0.06298282824964452,0.7502777777777779,0.03197106704541114,0.7508333333333335,0.016047573855388034,0.7511111111111112,0.008031609930319393,0.7511111111111112,0.004016784987568332,0.7511111111111112
339,0.12229769986999561,0.7494444444444445,0.06461874586651839,0.7519444444444445,0.032801484371265954,0.7516666666666668,0.016464393955527998,0.7519444444444445,0.008240223175262747,0.7522222222222223,0.004121117065167514,0.7522222222222223
340,0.1253938441705018,0.7502777777777779,0.06625466348339237,0.7525000000000001,0.033631901697120825,0.7530555555555556,0.016881214055667934,0.7525000000000001,0.008448836420206114,0.7525000000000001,0.00422544914276669,0.7525000000000001
341,0.128489988471008,0.7508333333333335,0.06789058110026625,0.7527777777777778,0.03446231902297564,0.7533333333333334,0.017298034155807898,0.7527777777777778,0.008657449665149468,0.7522222222222221,0.004329781220365866,0.7522222222222221
342,0.1315861327715142,0.7516666666666668,0.06952649871714012,0.7525,0.035292736348830456,0.7522222222222221,0.017714854255947834,0.7516666666666667,0.008866062910092835,0.7516666666666667,0.004434113297965048,0.7516666666666667
343,0.1346822770720204,0.7530555555555556,0.07116241633401399,0.7516666666666667,0.03612315367468533,0.7519444444444443,0.01813167435608777,0.7516666666666665,0.009074676155036189,0.7516666666666665,0.004538445375564224,0.7516666666666665
344,0.13777842137252683,0.7536111111111111,0.07279833395088786,0.7519444444444443,0.03695357100054014,0.7527777777777778,0.018548494456227735,0.7530555555555556,0.009283289399979557,0.7530555555555556,0.0046427774531634,0.7530555555555556
345,0.14087456567303303,0.7522222222222221,0.07443425156776173,0.7527777777777779,0.03778398832639496,0.7527777777777778,0.01896531455636767,0.7527777777777778,0.00949190264492291,0.7525000000000001,0.004747109530762576,0.7525000000000001
346,0.14397070997353922,0.7519444444444443,0.0760701691846356,0.7525000000000001,0.03861440565224983,0.7505555555555555,0.019382134656507635,0.7502777777777778,0.009700515889866278,0.7502777777777778,0.004851441608361758,0.7502777777777778
347,0.14706685427404542,0.7519444444444444,0.07770608680150948,0.7502777777777778,0.03944482297810464,0.7516666666666668,0.01979895475664757,0.7522222222222221,0.009909129134809631,0.7525000000000001,0.004955773685960934,0.7527777777777778
348,0.15016299857455162,0.7522222222222222,0.07934200441838335,0.7522222222222222,0.04027524030395946,0.7513888888888889,0.020215774856787536,0.7516666666666666,0.010117742379752999,0.7516666666666666,0.00506010576356011,0.7516666666666666
349,0.15325914287505782,0.7516666666666665,0.08097792203525722,0.7516666666666666,0.04110565762981433,0.7508333333333332,0.020632594956927472,0.751111111111111,0.010326355624696353,0.751111111111111,0.0051644378411592855,0.751111111111111
350,0.15635528717556402,0.7500000000000001,0.0826138396521312,0.751111111111111,0.041936074955669145,0.7522222222222222,0.021049415057067436,0.7522222222222222,0.01053496886963972,0.7522222222222222,0.005268769918758468,0.7519444444444444
351,0.15945143147607022,0.7530555555555556,0.08424975726900508,0.7522222222222222,0.04276649228152396,0.7522222222222222,0.021466235157207372,0.7527777777777778,0.010743582114583074,0.7525,0.005373101996357644,0.7525
352,0.16254757577657641,0.7516666666666666,0.08588567488587895,0.7525,0.04359690960737883,0.7527777777777778,0.021883055257347336,0.7525,0.010952195359526441,0.7525,0.00547743407395682,0.7525
353,0.1656437200770826,0.7513888888888888,0.08752159250275282,0.7525,0.044427326933233646,0.7519444444444444,0.022299875357487273,0.7519444444444444,0.011160808604469795,0.7519444444444444,0.005581766151555995,0.7519444444444444
354,0.1687398643775888,0.7522222222222222,0.08915751011962669,0.7522222222222222,0.04525774425908846,0.7525,0.02271669545762721,0.7519444444444443,0.011369421849413162,0.7513888888888887,0.005686098229155178,0.7516666666666665
