phase,tr3.77,mod3.77,res3.77,tr4.93,mod4.93,res4.93,tr7.43,mod7.43,res7.43,tr12.81,mod12.81,res12.81,tr24.37,mod24.37,res24.37,tr49.07,mod49.07,res49.07,tr100.52,mod100.52,res100.52,tr198.21,mod198.21,res198.21,tr331.42,mod331.42,res331.42,tr426.86,mod426.86,res426.86
-0.3199732798931196,0.0,0.0014404357116086786,-0.005333468906831263,0.0,0.0006685910314541132,-0.0024755769722369257,0.0,0.0003103324665849616,-0.0011490610431083683,0.0,0.00014404357116082345,-0.0005333468906831396,0.0,6.685910314541132e-05,-0.0002475576972237104,0.0,3.103324665842955e-05,-0.00011490610431079684,0.0,1.4404357116193367e-05,-5.3334689068340596e-05,0.0,6.6859103144967236e-06,-2.4755769722362155e-05,0.0,3.103324665909568e-06,-1.149061043110855e-05,0.0,1.4404357115971322e-06,-5.33346890683184e-06
-0.3186372745490982,0.0,0.014542735069629664,-0.005783256643404045,0.0,0.006750139670938182,-0.002684349945794162,0.0,0.0031331372921954426,-0.0012459648733906814,0.0,0.001454273506962922,-0.0005783256643403956,0.0,0.000675013967093907,-0.0002684349945794473,0.0,0.00031331372921949985,-0.00012459648733900155,0.0,0.0001454273506962256,-5.7832566434079516e-05,0.0,6.750139670930189e-05,-2.6843499457962493e-05,0.0,3.133137292188337e-05,-1.2459648733953442e-05,0.0,1.4542735069733581e-05,-5.783256643399071e-06
-0.31730126920507673,0.0,0.0076103772514699575,-0.005849786105018185,0.0,0.0035324242070002843,-0.002715230186407558,0.0,0.0016396060754795272,-0.0012602982113917084,0.0,0.000761037725147018,-0.0005849786105017962,0.0,0.0003532424207000062,-0.0002715230186407958,0.0,0.0001639606075478639,-0.00012602982113909535,0.0,7.610377251476841e-05,-5.849786105023291e-05,0.0,3.532424207008944e-05,-2.715230186409734e-05,0.0,1.6396060754875208e-05,-1.2602982113962823e-05,0.0,7.610377251499045e-06,-5.849786105027732e-06
-0.3159652638610554,0.0,0.001216750164928282,-0.006229047617444962,0.0,0.0005647653978828604,-0.0028912677865174713,0.0,0.0002621408764422739,-0.0013420076272883553,0.0,0.00012167501649273937,-0.0006229047617444917,0.0,5.647653978835265e-05,-0.0002891267786517826,0.0,2.6214087644138573e-05,-0.0001342007627287867,0.0,1.216750164934055e-05,-6.2290476174498e-05,0.0,5.647653978924083e-06,-2.8912677865200468e-05,0.0,2.621408764502675e-06,-1.3420076272918635e-05,0.0,1.2167501648452372e-06,-6.22904761744536e-06
-0.31462925851703405,0.0,0.004438632327454339,-0.006308658749834262,0.0,0.002060230624762349,-0.0029282200008303953,0.0,0.0009562743462563361,-0.001359159325821535,0.0,0.00044386323274547834,-0.000630865874983444,0.0,0.00020602306247630153,-0.0002928220000830706,0.0,9.56274346255448e-05,-0.00013591593258213133,0.0,4.438632327463665e-05,-6.308658749838437e-05,0.0,2.0602306247674562e-05,-2.928220000835147e-05,0.0,9.562743462643297e-06,-1.3591593258244218e-05,0.0,4.438632327463665e-06,-6.308658749798469e-06
-0.3132932531730126,0.0,0.0033367432737425595,-0.004376266772008663,0.0,0.0015487790320036776,-0.002031283098186587,0.0,0.0007188795460681963,-0.0009428380946448823,0.0,0.00033367432737430036,-0.00043762667720088634,0.0,0.00015487790320034556,-0.0002031283098187009,0.0,7.188795460688624e-05,-9.428380946447935e-05,0.0,3.3367432737518854e-05,-4.3762667720104176e-05,0.0,1.548779032001235e-05,-2.0312830981894516e-05,0.0,7.188795460688624e-06,-9.428380946463476e-06,0.0,3.336743273685272e-06,-4.376266771966009e-06
-0.3119572478289913,0.0,0.01494079073157617,-0.004759052142324794,0.0,0.006934900742502803,-0.002208956328239542,0.0,0.003218895784861342,-0.001025306702709461,0.0,0.0014940790731576836,-0.00047590521423253036,0.0,0.0006934900742503469,-0.00022089563282399197,0.0,0.000321889578486223,-0.00010253067027095054,0.0,0.00014940790731565734,-4.7590521423268586e-05,0.0,6.93490074250569e-05,-2.2089563282423622e-05,0.0,3.218895784851128e-05,-1.0253067027088391e-05,0.0,1.494079073149912e-05,-4.759052142300213e-06
-0.3106212424849699,0.0,-0.0020515826376580337,-0.002163134198230465,0.0,-0.0009522603062187551,-0.00100403795401125,0.0,-0.00044200008040373717,-0.00046603313558617464,0.0,-0.00020515826376577007,-0.00021631341982308872,0.0,-9.52260306218422e-05,-0.00010040379540114941,0.0,-4.420000804039592e-05,-4.6603313558635234e-05,0.0,-2.0515826376632518e-05,-2.1631341982297773e-05,0.0,-9.522603062195323e-06,-1.0040379540132708e-05,0.0,-4.42000080402849e-06,-4.6603313558435385e-06,0.0,-2.0515826376632518e-06,-2.1631341982075725e-06
-0.3092852371409485,0.0,0.0031306770165089315,0.003610194088186214,0.0,0.0014531315481476348,0.0016757036566900085,0.0,0.0006744839167651673,0.0007777927381336757,0.0,0.00031306770165095976,0.00036101940881858594,0.0,0.0001453131548148079,0.00016757036566896757,0.0,6.744839167649452e-05,7.777927381336093e-05,0.0,3.130677016516259e-05,3.610194088188301e-05,0.0,1.4531315481569607e-05,1.6757036566872332e-05,0.0,6.744839167627248e-06,7.777927381358295e-06,0.0,3.130677016516259e-06,3.610194088188301e-06
-0.3079492317969272,0.0,-0.008540957393017301,0.005291115043620742,0.0,-0.003964361246379111,0.002455918050383033,0.0,-0.001840093489360095,0.0011399361798926089,0.0,-0.0008540957393017301,0.0005291115043620343,0.0,-0.0003964361246379111,0.0002455918050382922,0.0,-0.00018400934893603171,0.0001139936179892942,0.0,-8.540957393021742e-05,5.291115043619677e-05,0.0,-3.964361246378001e-05,2.4559180503791465e-05,0.0,-1.8400934893580967e-05,1.1399361798947183e-05,0.0,-8.540957392999537e-06,5.291115043593031e-06
-0.3066132264529058,0.0,-0.025529898158340836,0.0031519261183701416,0.0,-0.011849929021502614,0.0014629945075399055,0.0,-0.005500249822531056,0.000679061896983435,0.0,-0.0025529898158340725,0.0003151926118369897,0.0,-0.0011849929021502392,0.00014629945075399496,0.0,-0.0005500249822530945,6.790618969836349e-05,0.0,-0.00025529898158338504,3.151926118367677e-05,0.0,-0.00011849929021501282,1.4629945075372854e-05,0.0,-5.500249822532055e-05,6.790618969843009e-06,0.0,-2.5529898158294095e-05,3.151926118327708e-06
-0.3052772211088844,0.0,0.006536185954403528,0.0052623915624848035,0.0,0.0030338287740376835,0.002442585791452734,0.0,0.0014081785760666765,0.0011337478934748458,0.0,0.0006536185954404417,0.0005262391562484759,0.0,0.00030338287740372394,0.00024425857914529565,0.0,0.00014081785760655663,0.00011337478934749792,0.0,6.536185954408857e-05,5.262391562483871e-05,0.0,3.033828774046121e-05,2.4425857914511795e-05,0.0,1.4081785760566845e-05,1.1337478934758672e-05,0.0,6.536185954475471e-06,5.262391562443902e-06
-0.30394121576486305,0.0,0.008644361988594973,-0.0009853091640938498,0.0,0.0040123574079968805,-0.00045734000137147594,0.0,0.0018623713341421322,-0.00021227842435300737,0.0,0.0008644361988594529,-9.85309164093895e-05,0.0,0.00040123574079964364,-4.5734000137120885e-05,0.0,0.00018623713341425763,-2.1227842435278538e-05,0.0,8.644361988596749e-05,-9.853091640943385e-06,0.0,4.012357407989775e-05,-4.573400013740957e-06,0.0,1.8623713341492376e-05,-2.122784243518971e-06,0.0,8.644361988663363e-06,-9.853091641254256e-07
-0.30260521042084165,0.0,-0.007421650204064378,-0.003182557446564483,0.0,-0.0034448248714165075,-0.0014772123106305383,0.0,-0.0015989460656918864,-0.0006856612165897725,0.0,-0.0007421650204064711,-0.00031825574465644825,0.0,-0.00034448248714169516,-0.00014772123106301382,0.0,-0.00015989460656917753,-6.856612165895283e-05,0.0,-7.421650204064711e-05,-3.1825574465638166e-05,0.0,-3.444824871412511e-05,-1.4772123106321368e-05,0.0,-1.598946065695106e-05,-6.856612165884179e-06,0.0,-7.4216502040647114e-06,-3.1825574465793594e-06
-0.3012692050768203,0.0,0.022697546239875965,-0.00196683729028666,0.0,0.010535267717741936,-0.0009129250004128234,0.0,0.00489003809977917,-0.0004237422487841648,0.0,0.0022697546239875965,-0.0001966837290286572,0.0,0.0010535267717741714,-9.129250004125122e-05,0.0,0.0004890038099778504,-4.237422487840538e-05,0.0,0.00022697546239869304,-1.966837290285906e-05,0.0,0.00010535267717748376,-9.12925000411402e-06,0.0,4.890038099780725e-05,-4.237422487851638e-06,0.0,2.26975462398471e-05,-1.9668372903014488e-06
-0.2999331997327989,0.0,-0.014543656745987676,0.00013640280748399285,0.0,-0.006750567475207303,6.331257480907105e-05,0.0,-0.0031333358613472306,2.938709402613415e-05,0.0,-0.0014543656745987787,1.364028074839482e-05,0.0,-0.0006750567475207747,6.3312574809293465e-06,0.0,-0.00031333358613472306,2.938709402644502e-06,0.0,-0.00014543656745991118,1.3640280748461465e-06,0.0,-6.750567475211078e-05,6.331257480951537e-07,0.0,-3.133335861349451e-05,2.9387094027111343e-07,0.0,-1.4543656746024425e-05,1.3640280749349643e-07
