,frm_1.0,lc_1.0,frm_1.5,lc_1.5,frm_2.0,lc_2.0,frm_2.5,lc_2.5,frm_3.0,lc_3.0,frm_3.5,lc_3.5
14,-0.8839491977945251,1.0,-0.8839491977945251,1.0,-0.8839491977945251,1.0,-0.8839491977945251,1.0,-0.8839491977945251,1.0,-0.8839491977945251,1.0
15,-0.8808530534940188,1.0,-0.8808530534940188,1.0,-0.8808530534940188,1.0,-0.8808530534940188,1.0,-0.8808530534940188,1.0,-0.8808530534940188,1.0
16,-0.8777569091935126,1.0,-0.8777569091935126,1.0,-0.8777569091935126,1.0,-0.8777569091935126,1.0,-0.8777569091935126,1.0,-0.8777569091935126,1.0
17,-0.8746607648930064,1.0,-0.8746607648930064,1.0,-0.8746607648930064,1.0,-0.8746607648930064,1.0,-0.8746607648930064,1.0,-0.8746607648930064,1.0
18,-0.8715646205925002,1.0,-0.8715646205925002,1.0,-0.8715646205925002,1.0,-0.8715646205925002,1.0,-0.8715646205925002,1.0,-0.8715646205925002,1.0
19,-0.868468476291994,1.0,-0.868468476291994,1.0,-0.868468476291994,1.0,-0.868468476291994,1.0,-0.868468476291994,1.0,-0.868468476291994,1.0
20,-0.8653723319914878,1.0,-0.8653723319914878,1.0,-0.8653723319914878,1.0,-0.8653723319914878,1.0,-0.8653723319914878,1.0,-0.8653723319914878,1.0
21,-0.8622761876909815,1.0,-0.8622761876909815,1.0,-0.8622761876909815,1.0,-0.8622761876909815,1.0,-0.8622761876909815,1.0,-0.8622761876909815,1.0
22,-0.8591800433904753,1.0,-0.8591800433904753,1.0,-0.8591800433904753,1.0,-0.8591800433904753,1.0,-0.8591800433904753,1.0,-0.8591800433904753,1.0
23,-0.8560838990899691,1.0,-0.8560838990899691,1.0,-0.8560838990899691,1.0,-0.8560838990899691,1.0,-0.8560838990899691,1.0,-0.8560838990899691,1.0
24,-0.8529877547894629,1.0,-0.8529877547894629,1.0,-0.8529877547894629,1.0,-0.8529877547894629,1.0,-0.8529877547894629,1.0,-0.8529877547894629,1.0
25,-0.8498916104889567,1.0,-0.8498916104889567,1.0,-0.8498916104889567,1.0,-0.8498916104889567,1.0,-0.8498916104889567,1.0,-0.8498916104889567,1.0
26,-0.8467954661884505,1.0,-0.8467954661884505,1.0,-0.8467954661884505,1.0,-0.8467954661884505,1.0,-0.8467954661884505,1.0,-0.8467954661884505,1.0
27,-0.8436993218879442,1.0,-0.8436993218879442,1.0,-0.8436993218879442,1.0,-0.8436993218879442,1.0,-0.8436993218879442,1.0,-0.8436993218879442,1.0
